State_Code_Dest,State_Abbrv,State_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
4,0,11,DC,DISTRICT OF COLUMBIA,110,149,6437
4,0,10,DE,DELAWARE,108,198,5768
5,AR,96,AR,AR Total Mig - US & For,29576,60987,1131784
5,AR,97,AR,AR Total Mig - US,29135,60023,1115326
5,AR,98,AR,AR Total Mig - Foreign,441,964,16459
5,AR,5,AR,AR Non-Migrants,954967,2135030,44111763
5,AR,48,TX,TEXAS,5088,10511,194427
5,AR,29,MO,MISSOURI,2713,5476,83005
5,AR,40,OK,OKLAHOMA,2529,5479,88908
5,AR,6,CA,CALIFORNIA,1822,3723,64041
5,AR,47,TN,TENNESSEE,1737,3450,59721
5,AR,12,FL,FLORIDA,1383,2734,49087
5,AR,22,LA,LOUISIANA,1280,2653,51333
5,AR,17,IL,ILLINOIS,1101,2216,46685
5,AR,28,MS,MISSISSIPPI,966,2006,33344
5,AR,13,GA,GEORGIA,778,1695,36992
5,AR,20,KS,KANSAS,637,1345,24392
5,AR,37,NC,NORTH CAROLINA,589,1264,25444
5,AR,26,MI,MICHIGAN,583,1216,20542
5,AR,4,AZ,ARIZONA,561,1208,21185
5,AR,8,CO,COLORADO,560,1194,25661
5,AR,18,IN,INDIANA,458,956,17391
5,AR,39,OH,OHIO,448,896,22625
5,AR,57,FR,Foreign,441,964,16459
5,AR,1,AL,ALABAMA,429,967,15871
5,AR,51,VA,VIRGINIA,408,840,18908
5,AR,36,NY,NEW YORK,396,725,14831
5,AR,55,WI,WISCONSIN,359,747,15989
5,AR,53,WA,WASHINGTON,356,687,11901
5,AR,27,MN,MINNESOTA,311,609,18247
5,AR,19,IA,IOWA,308,624,13325
5,AR,21,KY,KENTUCKY,282,610,9897
5,AR,45,SC,SOUTH CAROLINA,276,550,10219
5,AR,42,PA,PENNSYLVANIA,263,543,12902
5,AR,32,NV,NEVADA,256,524,8241
5,AR,31,NE,NEBRASKA,243,494,11190
5,AR,35,NM,NEW MEXICO,203,430,6664
5,AR,34,NJ,NEW JERSEY,197,366,15000
5,AR,41,OR,OREGON,193,380,6619
5,AR,24,MD,MARYLAND,180,363,8630
5,AR,49,UT,UTAH,156,364,6555
5,AR,2,AK,ALASKA,129,278,5993
5,AR,25,MA,MASSACHUSETTS,121,222,4964
5,AR,15,HI,HAWAII,119,276,3192
5,AR,56,WY,WYOMING,98,202,3293
5,AR,16,ID,IDAHO,94,213,4334
5,AR,9,CT,CONNECTICUT,87,176,6479
5,AR,30,MT,MONTANA,85,165,2361
5,AR,46,SD,SOUTH DAKOTA,71,132,4591
5,AR,54,WV,WEST VIRGINIA,55,107,1445
5,AR,33,NH,NEW HAMPSHIRE,41,75,1665
5,AR,38,ND,NORTH DAKOTA,41,83,1577
5,AR,11,DC,DISTRICT OF COLUMBIA,37,54,1565
5,AR,23,ME,MAINE,31,48,1502
5,AR,10,DE,DELAWARE,27,51,933
5,AR,50,VT,VERMONT,26,48,688
5,AR,44,RI,RHODE ISLAND,24,48,973
6,CA,96,CA,CA Total Mig - US & For,214495,384328,9850216
6,CA,97,CA,CA Total Mig - US,204727,365763,9415869
6,CA,98,CA,CA Total Mig - Foreign,9768,18565,434347
6,CA,6,CA,CA Non-Migrants,12588517,28448182,763874122
6,CA,48,TX,TEXAS,17403,33914,789138
6,CA,4,AZ,ARIZONA,14886,29041,584668
6,CA,32,NV,NEVADA,13455,26057,473495
